simulation,placebo_mean_R
118,0.24201562383885422
119,0.25489233575599846
120,0.24525722894449165
121,0.21366169665318197
122,0.23159379492159224
123,0.2216287329845464
124,0.19687005565296065
125,0.26278339056918754
126,0.24201562383885422
127,0.2721429364946801
128,0.25314828375768067
129,0.24576062605635546
130,0.1726322745299957
131,0.23158664673523732
132,0.25314828375768067
133,0.26159587211596336
134,0.23482788995007015
135,0.23159379492159224
136,0.22290793486434393
137,0.22834446856845525
138,0.2508512362595174
139,0.2178786971755585
140,0.25942406007925484
141,0.264955202605896
142,0.2073560137986273
143,0.2155187848890106
144,0.2216287329845464
145,0.21227660672222853
146,0.2146184360384977
147,0.2721429364946801
148,0.2407447042042799
149,0.22519278313856328
150,0.2617211075774182
151,0.2444624237004324
152,0.1667427429971347
153,0.22784879270409095
154,0.2494032815401794
155,0.22143559914322042
156,0.2721429364946801
157,0.24493442200530757
158,0.19593796355075685
159,0.264955202605896
160,0.2484913239729695
161,0.21650692308131497
162,0.22115673467967123
163,0.20512007253351408
164,0.21326567986648212
165,0.2192637871065119
166,0.23518627895628993
167,0.22290793486434393
168,0.2396551384911617
169,0.2472314695034709
170,0.18865619390058755
171,0.16581065089493094
172,0.21643074245622046
173,0.26389291961412664
174,0.2042152631526591
175,0.18630342980039458
176,0.18353438399735605
177,0.23718780223661798
178,0.22834446856845525
179,0.1580568829398864
180,0.18818419559571228
181,0.26997112445797156
182,0.1950260059835469
183,0.2522363261904708
184,0.19222024405460433
185,0.23934041469028183
186,0.1896443320928919
187,0.22893063716970966
188,0.19364091605259356
189,0.17547750095812867
190,0.26278339056918754
191,0.22834446856845525
192,0.22981085148522862
193,0.24663423573714083
194,0.21244662400178924
195,0.2780597507488899
196,0.23076759087054435
197,0.2334428000191167
198,0.2629809620469168
199,0.21653812278138457
200,0.23809261161747297
201,0.1822946640628514
202,0.21413369495805715
203,0.22842576155427521
204,0.22972955849940865
205,0.22384002696654773
206,0.2694869269291524
207,0.23518627895628993
208,0.21326567986648212
209,0.2155187848890106
210,0.2494032815401794
211,0.21010479468552004
212,0.2178786971755585
213,0.21337871610399298
214,0.2042152631526591
215,0.25580429332320836
216,0.22301382291549984
217,0.234342575808485
218,0.156671793008933
219,0.24493442200530757
220,0.2552070595568783
221,0.22290793486434393
222,0.2063870751893676
223,0.23750346098944713
224,0.2552070595568783
225,0.22384002696654773
226,0.2396551384911617
227,0.25382196962592496
228,0.1950260059835469
229,0.19779505178658546
230,0.2794448406798433
