asset,horizon,side,split,leaf,rule,signals,mean_R,win_rate,sensitivity,specificity,youden_J
intraday,6bar,SHORT,TEST,7,intraday_move_atr <= 0.005843 AND minute_from_open > 102.5 AND intraday_move_atr > -0.2382,45,-0.024048789084261626,0.4444444444444444,0.09090909090909091,0.8883928571428571,-0.020698051948051965
intraday,12bar,LONG,TRAIN,12,intraday_move_atr > 0.1639 AND gap_atr > 0.1953,121,0.07774347014734079,0.7107438016528925,0.2042755344418052,0.914004914004914,0.11828044844671926
intraday,12bar,LONG,VALIDATION,12,intraday_move_atr > 0.1639 AND gap_atr > 0.1953,63,0.06204235432018146,0.5396825396825397,0.09577464788732394,0.9159420289855073,0.011716676872831178
intraday,12bar,LONG,TEST,12,intraday_move_atr > 0.1639 AND gap_atr > 0.1953,37,0.031967132608869187,0.6756756756756757,0.1072961373390558,0.9459459459459459,0.053242083285001796
intraday,12bar,SHORT,TRAIN,2,intraday_move_atr <= -0.04023 AND minute_from_open <= 22.5,113,0.024948092703430187,0.6460176991150443,0.1983695652173913,0.8961038961038961,0.09447346132128742
intraday,12bar,SHORT,TRAIN,4,intraday_move_atr <= -0.04023 AND minute_from_open > 22.5 AND minute_from_open <= 257.5,394,-0.018890433772445647,0.4619289340101523,0.4945652173913043,0.44935064935064933,-0.0560841332580464
intraday,12bar,SHORT,VALIDATION,2,intraday_move_atr <= -0.04023 AND minute_from_open <= 22.5,94,-0.002123256715624713,0.5319148936170213,0.19011406844106463,0.8428571428571429,0.03297121129820746
intraday,12bar,SHORT,VALIDATION,4,intraday_move_atr <= -0.04023 AND minute_from_open > 22.5 AND minute_from_open <= 257.5,275,0.0019026062987764418,0.4618181818181818,0.4828897338403042,0.4714285714285714,-0.04568169473112438
intraday,12bar,SHORT,TEST,2,intraday_move_atr <= -0.04023 AND minute_from_open <= 22.5,61,-0.00044539017634477574,0.5901639344262295,0.16363636363636364,0.8697916666666666,0.03342803030303032
intraday,12bar,SHORT,TEST,4,intraday_move_atr <= -0.04023 AND minute_from_open > 22.5 AND minute_from_open <= 257.5,195,-0.011734872255026257,0.5282051282051282,0.4681818181818182,0.5208333333333334,-0.010984848484848486
intraday,EOD,LONG,TRAIN,3,prior_day_return_atr <= 0.5879 AND prior_day_range_atr <= 0.7398 AND close_vs_pdl_atr <= 0.7044,249,0.010975243286424501,0.5783132530120482,0.2987551867219917,0.7848360655737705,0.08359125229576225
intraday,EOD,LONG,TRAIN,6,prior_day_return_atr <= 0.5879 AND prior_day_range_atr > 0.7398 AND atr_pct <= 0.009303,126,0.13302038007776823,0.746031746031746,0.1950207468879668,0.9344262295081968,0.12944697639616365
intraday,EOD,LONG,TRAIN,7,prior_day_return_atr <= 0.5879 AND prior_day_range_atr > 0.7398 AND atr_pct > 0.009303,183,0.03070822204831182,0.5519125683060109,0.2095435684647303,0.8319672131147541,0.0415107815794844
intraday,EOD,LONG,VALIDATION,3,prior_day_return_atr <= 0.5879 AND prior_day_range_atr <= 0.7398 AND close_vs_pdl_atr <= 0.7044,208,-0.029833559999176747,0.5096153846153846,0.2676767676767677,0.7397959183673469,0.0074726860441145515
intraday,EOD,LONG,VALIDATION,6,prior_day_return_atr <= 0.5879 AND prior_day_range_atr > 0.7398 AND atr_pct <= 0.009303,17,-0.11697259458427246,0.29411764705882354,0.012626262626262626,0.9693877551020408,-0.017985982271696566
intraday,EOD,LONG,VALIDATION,7,prior_day_return_atr <= 0.5879 AND prior_day_range_atr > 0.7398 AND atr_pct > 0.009303,236,-0.07636249588320763,0.5169491525423728,0.30808080808080807,0.7091836734693877,0.017264481550195665
intraday,EOD,LONG,TEST,3,prior_day_return_atr <= 0.5879 AND prior_day_range_atr <= 0.7398 AND close_vs_pdl_atr <= 0.7044,125,-0.07962590364537388,0.568,0.24738675958188153,0.7759336099585062,0.023320369540387853
