asset,horizon,side,split,leaf,rule,signals,mean_R,win_rate,sensitivity,specificity,youden_J
intraday,3bar,SHORT,TEST,5,atr_pct > 0.009073 AND atr_pct <= 0.01078,72,-0.005861295455919776,0.4722222222222222,0.1452991452991453,0.8455284552845529,-0.009172399416301769
intraday,3bar,SHORT,TEST,7,atr_pct > 0.009073 AND atr_pct > 0.01078 AND atr_pct <= 0.01218,96,-0.021194278728977497,0.4375,0.1794871794871795,0.7804878048780488,-0.04002501563477168
intraday,3bar,SHORT,TEST,8,atr_pct > 0.009073 AND atr_pct > 0.01078 AND atr_pct > 0.01218,170,-0.002902189118584563,0.5117647058823529,0.3717948717948718,0.6626016260162602,0.034396497811131965
intraday,6bar,LONG,TRAIN,3,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr <= 0.3235,145,0.0321745254642608,0.5862068965517241,0.185589519650655,0.8660714285714286,0.05166094822208356
intraday,6bar,LONG,TRAIN,4,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr > 0.3235,286,0.004005061184965423,0.4755244755244755,0.29694323144104806,0.6651785714285714,-0.03787819713038054
intraday,6bar,LONG,TRAIN,5,prior_day_return_atr <= 0.365 AND minute_from_open > 252.5,124,0.013427612850330372,0.6612903225806451,0.17903930131004367,0.90625,0.08528930131004375
intraday,6bar,LONG,TRAIN,7,prior_day_return_atr > 0.365 AND intraday_range_atr <= 0.4931,197,-0.0363274717509745,0.37055837563451777,0.15938864628820962,0.7232142857142857,-0.11739706799750471
intraday,6bar,LONG,TRAIN,8,prior_day_return_atr > 0.365 AND intraday_range_atr > 0.4931,154,-0.004121061854665501,0.5324675324675324,0.17903930131004367,0.8392857142857143,0.018325015595757943
intraday,6bar,LONG,VALIDATION,3,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr <= 0.3235,144,-0.0019700185708262843,0.4861111111111111,0.1881720430107527,0.8010752688172043,-0.010752688172043001
intraday,6bar,LONG,VALIDATION,4,prior_day_return_atr <= 0.365 AND minute_from_open <= 252.5 AND intraday_range_atr > 0.3235,187,-0.008592292234646217,0.5133689839572193,0.25806451612903225,0.7553763440860215,0.013440860215053752
intraday,6bar,LONG,VALIDATION,5,prior_day_return_atr <= 0.365 AND minute_from_open > 252.5,92,-0.013927862949430386,0.5217391304347826,0.12903225806451613,0.8817204301075269,0.010752688172043001
intraday,6bar,LONG,VALIDATION,7,prior_day_return_atr > 0.365 AND intraday_range_atr <= 0.4931,180,-0.008174292700169943,0.4722222222222222,0.22849462365591397,0.7446236559139785,-0.026881720430107503
intraday,6bar,LONG,VALIDATION,8,prior_day_return_atr > 0.365 AND intraday_range_atr > 0.4931,141,-0.016426065062089216,0.5177304964539007,0.19623655913978494,0.8172043010752689,0.013440860215053752
